iter	Passed	Remaining
249	3579	10737
250	3590	10713
251	3602	10693
252	3614	10672
253	3625	10647
254	3636	10624
255	3647	10599
256	3656	10571
257	3667	10547
258	3678	10524
259	3688	10497
260	3697	10468
261	3709	10449
262	3720	10425
263	3731	10402
264	3747	10393
265	3760	10377
266	3773	10359
267	3809	10405
268	3823	10389
269	3835	10369
270	3847	10350
271	3860	10332
272	3874	10316
273	3885	10294
274	3895	10269
275	3906	10247
276	3917	10225
277	3927	10201
278	3939	10181
279	3951	10160
280	3963	10141
281	3976	10124
282	3988	10104
283	3999	10083
284	4011	10063
285	4023	10045
286	4034	10023
287	4045	10000
288	4057	9982
289	4070	9964
290	4080	9942
291	4093	9925
292	4106	9907
293	4118	9890
294	4128	9867
295	4139	9846
296	4150	9824
297	4161	9804
298	4173	9785
299	4186	9767
300	4196	9746
301	4207	9725
302	4217	9702
303	4227	9679
304	4240	9662
305	4250	9640
306	4263	9624
307	4274	9604
308	4286	9585
309	4300	9571
310	4315	9560
311	4326	9541
312	4338	9522
313	4354	9513
314	4368	9499
315	4382	9486
316	4398	9475
317	4409	9456
318	4421	9438
319	4434	9422
320	4447	9407
321	4459	9390
322	4471	9371
323	4484	9355
324	4495	9336
325	4506	9317
326	4519	9300
327	4529	9280
328	4540	9259
329	4553	9244
330	4564	9225
331	4575	9206
332	4588	9191
333	4601	9175
334	4613	9158
335	4624	9139
336	4637	9123
337	4649	9106
338	4662	9090
339	4674	9074
340	4685	9055
341	4700	9043
342	4714	9030
343	4726	9014
344	4738	8996
345	4751	8981
346	4762	8962
347	4773	8943
348	4784	8925
349	4796	8906
350	4808	8891
351	4824	8882
352	4867	8922
353	4881	8908
354	4893	8891
355	4908	8879
356	4921	8864
357	4934	8848
358	4946	8832
359	4958	8815
360	4971	8800
361	4983	8782
362	4994	8764
363	5005	8746
364	5017	8728
365	5029	8711
366	5041	8695
367	5052	8676
368	5063	8658
369	5074	8641
370	5086	8623
371	5096	8604
372	5108	8586
373	5120	8570
374	5132	8554
375	5143	8536
376	5156	8521
377	5169	8506
378	5181	8490
379	5197	8480
380	5213	8469
381	5227	8457
382	5239	8441
383	5252	8426
384	5266	8412
385	5277	8395
386	5290	8380
387	5304	8367
388	5318	8353
389	5332	8340
390	5345	8326
391	5356	8308
392	5369	8292
393	5382	8278
394	5396	8265
395	5409	8251
396	5423	8237
397	5435	8221
398	5447	8205
399	5460	8190
400	5472	8173
401	5485	8160
402	5497	8143
403	5506	8124
